decoy_bad,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,robust_opt_value
0.06,9,MNPO-hist-avg,0.20967066727293826,0.08280743644902,0.5124381066739047,0.15667496199851402,2.042574592326801,0.036866949353035,0.29247810372195826
0.06,9,HT-MNPO-mix,0.19910647252858493,0.09337163119337333,0.5307684376954426,0.2804360348928995,1.8013360338338484,0.2781055078459874,0.29247810372195826
0.06,9,RONPO,0.28794566919394876,0.004532434528009499,0.5288340753979691,0.3403039038762297,1.3879909174278047,0.6914506242520309,0.29247810372195826
0.1,0,SPPO-avg,0.10000438196011815,0.21536014626611463,0.5466666629852485,0.9999801429992001,0.00025764457451301736,2.0791838971053234,0.3153645282262328
0.1,0,INPO-avg,0.21037036777116833,0.10499416045506446,0.531856780122268,0.3412165032101804,1.7779441152291668,0.30149742645066874,0.3153645282262328
0.1,0,MNPO-hist-avg,0.2171224788848322,0.0982420493414006,0.5130708404169511,0.16741372183961403,2.0407442215682856,0.038697320111549915,0.3153645282262328
0.1,0,HT-MNPO-mix,0.20892682583768848,0.1064377023885443,0.5319117839421977,0.3300823766575056,1.786034935303004,0.2934066063768317,0.3153645282262328
0.1,0,RONPO,0.2960728431695112,0.019291685056721575,0.536878845082011,0.36855402174507634,1.3468192762480924,0.7326222654317432,0.3153645282262328
0.1,1,SPPO-avg,0.10000363059407076,0.17600210130222188,0.5466666907383338,0.9999801277919682,0.0002577765621751786,2.0791837651176603,0.2760057318962926
0.1,1,INPO-avg,0.20638638871836154,0.06961934317793109,0.5331236915616754,0.3434460965440503,1.7690538470485335,0.31038769463130256,0.2760057318962926
0.1,1,MNPO-hist-avg,0.2176460283894108,0.05835970350688183,0.5138594342765913,0.16760264724160379,2.038621684697059,0.04081985698277604,0.2760057318962926
0.1,1,HT-MNPO-mix,0.20430541201142224,0.07170031988487038,0.5331212675676501,0.3327290229480409,1.7755858963723465,0.30385564530748926,0.2760057318962926
0.1,1,RONPO,0.29618328368871516,-0.020177551792422532,0.5389957990659585,0.36864975707711667,1.345755724807408,0.7336858168724277,0.2760057318962926
0.1,2,SPPO-avg,0.10000280933474974,0.19229621729972407,0.5466666657052901,0.9999801602739858,0.00025690867574314566,2.079184633004093,0.2922990266344738
0.1,2,INPO-avg,0.1978600493180019,0.09443897731647191,0.5309925782131731,0.3398296333801599,1.7834972278510368,0.295944313828799,0.2922990266344738
0.1,2,MNPO-hist-avg,0.21372349205949495,0.07857553457497887,0.5122586557131331,0.16720591517073077,2.0430140876915046,0.03642745398833122,0.2922990266344738
0.1,2,HT-MNPO-mix,0.19547265643191572,0.0968263702025581,0.5311429461876135,0.3300620921419315,1.7867030947200695,0.2927384469597663,0.2922990266344738
0.1,2,RONPO,0.2958804394555363,-0.003581412821062502,0.532582512069666,0.368404581562427,1.3489353166545044,0.730506225025331,0.2922990266344738
0.1,3,SPPO-avg,0.10000319030566512,0.20196460018788426,0.5466666600524887,0.9999801618129524,0.0002569894544577763,2.0791845522253785,0.3019677904935494
0.1,3,INPO-avg,0.20165492819954942,0.10031286229399997,0.5309266529008182,0.33960258985942315,1.7844076456824312,0.29503389599740437,0.3019677904935494
0.1,3,MNPO-hist-avg,0.21417740173284397,0.08779038876070541,0.5122745448556114,0.1672072312526293,2.042986813008096,0.036454728671740044,0.3019677904935494
0.1,3,HT-MNPO-mix,0.1995913519083315,0.10237643858521789,0.5312220931539359,0.330011684104935,1.786695942595229,0.2927455990846069,0.3019677904935494
0.1,3,RONPO,0.2958958475659051,0.0060719429276442916,0.5325086745168774,0.36842784277191515,1.3489821456166071,0.7304593960632286,0.3019677904935494
0.1,4,SPPO-avg,0.10000301588896335,0.1755088233473616,0.5466666300568619,0.9999801591350008,0.0002577451090574176,2.0791837965707787,0.27551183923632494
0.1,4,INPO-avg,0.20052415273169027,0.07498768650463467,0.5313332934516267,0.3402579495057943,1.7817804426308692,0.29766109904896654,0.27551183923632494
0.1,4,MNPO-hist-avg,0.2159199005964863,0.05959193863983864,0.512651501518535,0.16730264931298852,2.0419395433029006,0.03750199837693505,0.27551183923632494
0.1,4,HT-MNPO-mix,0.19804366468763096,0.07746817454869398,0.5313280557121051,0.3301182382704925,1.786005299636118,0.293436242043718,0.27551183923632494
0.1,4,RONPO,0.2960810193046216,-0.020569180068296666,0.5367559092933982,0.3685379574724144,1.3471030001147686,0.7323385415650671,0.27551183923632494
0.1,5,SPPO-avg,0.10000292559438771,0.18875179835224326,0.5466666350016594,0.999980162334623,0.0002579527057117467,2.0791835889741233,0.288754723946631
0.1,5,INPO-avg,0.19946633837787783,0.08928838556875315,0.5314037357938499,0.33990292373764397,1.783202912770997,0.2962386289088388,0.288754723946631
