kappa,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref,adversary_entropy,robust_opt_value
0.1,7,RONPO,0.27181734412705877,0.03464412443231574,0.526518360170531,0.31286436328784123,1.5705209284784303,0.508920613201406,2.432407530954791,0.3064614685593745
0.2,7,RONPO,0.25316609038886007,0.05329537817051444,0.5277244055924043,0.2526562694789862,1.7463734997862685,0.3330680418935671,2.9384362866231086,0.3064614685593745
0.5,7,RONPO,0.23377122220958393,0.07269024634979057,0.5300108248819634,0.20018079557211188,1.8055936363269383,0.27384790535289755,3.1351846679150888,0.3064614685593745
1.0,7,RONPO,0.22478056796773516,0.08168090059163935,0.5311545939707978,0.1853644726201255,1.8015911264020876,0.2778504152777481,3.167025462858261,0.3064614685593745
nan,8,SPPO-avg,0.060080046044398115,0.23782362219724548,0.5350155283205847,0.9995075754085825,0.004704120440134314,2.0747374212397016,nan,0.2979036682416436
nan,8,INPO-avg,0.19144677421654632,0.10645689402509728,0.5394568411462405,0.30855788306130144,1.7290042387394335,0.3504373029404023,nan,0.2979036682416436
nan,8,MNPO-hist-avg,0.2095445652991988,0.08835910294244481,0.5175615055001758,0.15803380821530608,2.0275299810137852,0.05191156066605063,nan,0.2979036682416436
nan,8,HT-MNPO-mix,0.188983224591031,0.1089204436506126,0.5403997292782196,0.3000017961805799,1.7217746523703672,0.35766688930946866,nan,0.2979036682416436
0.005,8,RONPO,0.3029917904783601,-0.005088122236716508,0.5295930739392057,0.3030996297756517,1.3865557137447486,0.6928858279350874,1.081171982398613,0.2979036682416436
0.01,8,RONPO,0.3018411455782488,-0.003937477336605211,0.5295943065217741,0.3058075123912147,1.3875356441292037,0.6919058975506318,1.0877792820490535,0.2979036682416436
0.02,8,RONPO,0.29942354133304905,-0.0015198730914054437,0.5299980147635396,0.3140866974570004,1.3809468596150278,0.6984946820648079,1.152968944163086,0.2979036682416436
0.05,8,RONPO,0.2879875605006032,0.009916107741040403,0.5315218290568107,0.34028310830465086,1.387195784742417,0.6922457569374187,1.5723063601922704,0.2979036682416436
0.1,8,RONPO,0.2726433921101381,0.0252602761315055,0.5333676588183437,0.3124583162170432,1.553549940776723,0.5258916009031127,2.400610636049904,0.2979036682416436
0.2,8,RONPO,0.2539176450719787,0.04398602316966488,0.5378680910109931,0.24695130847070923,1.7027962115160011,0.3766453301638347,2.917077231068899,0.2979036682416436
0.5,8,RONPO,0.2348460245138216,0.063057643727822,0.5431545491181715,0.18395678216837408,1.723473635699793,0.3559679059800424,3.13075642539608,0.2979036682416436
1.0,8,RONPO,0.22693359013304643,0.07097007810859718,0.5451732470435987,0.16361889497018026,1.7035976084443036,0.3758439332355323,3.1660089890492458,0.2979036682416436
nan,9,SPPO-avg,0.06010660378208475,0.2323714999398735,0.5350072038728015,0.9995119540502571,0.004750670026791814,2.074690871653044,nan,0.29247810372195826
nan,9,INPO-avg,0.20073203909216594,0.09174606462979232,0.5301842170516841,0.2907662564581011,1.8026268762237876,0.27681466545604855,nan,0.29247810372195826
nan,9,MNPO-hist-avg,0.20967066727293826,0.08280743644902,0.5124381066739047,0.15667496199851402,2.042574592326801,0.036866949353035,nan,0.29247810372195826
