rho,seed,method,worst_case,robust_gap,avg_ref,entropy,kl_to_ref,robust_opt_value
0.25,7,MNPO-hist-avg,0.2545682188821148,0.07453923509245136,0.5084779513703269,2.4594279888287125,0.02547866095928745,0.32910745397456614
0.25,7,HT-MNPO-mix,0.23626351482138663,0.09284393915317951,0.5145158119706983,2.350582411326984,0.13432423846101613,0.32910745397456614
0.25,7,RONPO,0.3386325573255366,-0.009525103350970454,0.5040216507897458,2.3874657819794387,0.09744086780856204,0.32910745397456614
0.25,8,SPPO-avg,0.13506375567780832,0.09458730598965623,0.4998463984081942,1.6509809647997105,0.8339256849889999,0.22965106166746455
0.25,8,INPO-avg,0.20157730575719277,0.02807375591027178,0.5434311486931573,2.102469312549699,0.3824373372383014,0.22965106166746455
0.25,8,MNPO-hist-avg,0.24102984968202734,-0.011378788014562796,0.5243833048715961,2.409257072249624,0.07564957753837649,0.22965106166746455
0.25,8,HT-MNPO-mix,0.19673528092230724,0.0329157807451573,0.5430888305061613,2.09607113649958,0.38883551328842014,0.22965106166746455
0.25,8,RONPO,0.30531212663201446,-0.07566106496454991,0.5173589962995603,2.258371233370763,0.22653541641723732,0.22965106166746455
0.25,9,SPPO-avg,0.1868927506522129,0.112129112460301,0.5026469645580669,1.3861612728248274,1.098745376963173,0.2990218631125139
0.25,9,INPO-avg,0.2741382012040766,0.02488366190843727,0.5295901387294778,2.2123379261121587,0.2725687236758416,0.2990218631125139
0.25,9,MNPO-hist-avg,0.3120634300208888,-0.013041566908374935,0.5143603586080134,2.442715921242211,0.04219072854578939,0.2990218631125139
0.25,9,HT-MNPO-mix,0.2696403052960507,0.029381557816463177,0.5303728165844592,2.195933523761101,0.28897312602689923,0.2990218631125139
0.25,9,RONPO,0.35035106286989337,-0.051329199757379484,0.5120863472685434,2.3579646313307268,0.12694201845727374,0.2990218631125139
0.5,0,SPPO-avg,0.16890662194605627,0.1145260898419333,0.5476735680056563,1.2360327304541472,1.2488739193348266,0.28343271178798957
0.5,0,INPO-avg,0.26554007869043816,0.017892633097551403,0.5472688065561236,2.0848368022367425,0.40006984755125796,0.28343271178798957
0.5,0,MNPO-hist-avg,0.22862673303011077,0.05480597875787879,0.525570972457472,2.4117533829550855,0.07315326683291469,0.28343271178798957
0.5,0,HT-MNPO-mix,0.26377441852675493,0.01965829326123464,0.5471972315855924,2.0750592651330058,0.4098473846549946,0.28343271178798957
0.5,0,RONPO,0.2835536757412347,-0.00012096395324512343,0.5327470710490154,2.269589919064119,0.2153167307238811,0.28343271178798957
0.5,1,SPPO-avg,0.21755918679441713,0.09094188154653784,0.5738425590522326,1.0343215053663382,1.4505851444238782,0.308501068340955
0.5,1,INPO-avg,0.3140077308655263,-0.005506662524571326,0.5519203814084159,1.9942376711413101,0.4906689786466902,0.308501068340955
0.5,1,MNPO-hist-avg,0.23506063292386173,0.07344043541709325,0.5325356940454572,2.3876755107208316,0.09723113906716892,0.308501068340955
0.5,1,HT-MNPO-mix,0.3136545367687973,-0.0051534684278423115,0.5522283571209036,1.9838250450512371,0.5010816047367634,0.308501068340955
0.5,1,RONPO,0.34563202233708645,-0.03713095399613148,0.5463243544089421,2.0870848940640503,0.3978217557239496,0.308501068340955
0.5,2,SPPO-avg,0.17461230762934077,0.07067356695226815,0.524738024402835,1.5267987308523618,0.9581079189356385,0.24528587458160891
