batch_size,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref
1024,4,RONPO-stochastic,0.24745464239064607,0.0668963245489802,0.5212980152927317,0.2481890434539268,1.8574899281867698,0.2219516134930656
2048,4,RONPO-stochastic,0.24969981347792092,0.06465115346170536,0.5215757957555658,0.24868085164818354,1.8458192756990819,0.23362226598075359
4096,4,RONPO-stochastic,0.24967658327335324,0.06467438366627304,0.5215581973929129,0.2513409422963005,1.843500205995365,0.2359413356844707
exact,5,RONPO-exact,0.2880172939783189,0.0136918196929674,0.5308988997361727,0.3403607874819953,1.38743494001377,0.6920066016660658
8,5,RONPO-stochastic,0.18555668132230757,0.11615243234897871,0.4911500976290421,0.14505587791364655,2.005017193553763,0.07442434812607276
16,5,RONPO-stochastic,0.1883965583718582,0.11331255529942807,0.49647648037339165,0.1716206233735255,2.0036396275323254,0.07580191414751065
32,5,RONPO-stochastic,0.25880700397728124,0.04290210969400504,0.5117488220930289,0.18759864122512632,1.8703939893795059,0.20904755230032962
64,5,RONPO-stochastic,0.24059994747294203,0.06110916619834425,0.5138637364523904,0.20589072588568225,1.9453327170957802,0.13410882458405537
128,5,RONPO-stochastic,0.23594009723541196,0.06576901643587432,0.5182321641426016,0.26544236718279657,1.8672241005559274,0.2122174411239085
256,5,RONPO-stochastic,0.24161342004782674,0.06009569362345954,0.5184602226210414,0.2680275510671184,1.8134769852451091,0.26596455643472655
512,5,RONPO-stochastic,0.2699292447858332,0.03177986888545309,0.5218635633119522,0.22912327368436763,1.7708931926042826,0.3085483490755536
1024,5,RONPO-stochastic,0.2509340081925335,0.0507751054787528,0.5207420427101086,0.25747037279381085,1.8303386409530054,0.2491029007268304
2048,5,RONPO-stochastic,0.2505549553713466,0.05115415829993969,0.5206142314080974,0.25739801218665387,1.8311402705310735,0.24830127114876255
4096,5,RONPO-stochastic,0.2538510014465869,0.04785811222469938,0.5203027402211385,0.2409380699676682,1.8460062446239047,0.23343529705593105
exact,6,RONPO-exact,0.28793779105914735,0.006103390218055449,0.5289011738367172,0.340288194809407,1.388083738490884,0.6913578031889518
8,6,RONPO-stochastic,0.20225072681600928,0.09179045446119352,0.5086686073080714,0.1112536340800462,1.972494138799005,0.10694740288083066
16,6,RONPO-stochastic,0.22108073639875964,0.07296044487844316,0.5090767506419752,0.2307695920092112,1.9702547508375121,0.10918679084232397
32,6,RONPO-stochastic,0.20604391826458826,0.08799726301261454,0.5075445358260934,0.056906509669124625,1.9619477008756525,0.1174938408041831
64,6,RONPO-stochastic,0.27232479736833565,0.021716383908867154,0.5151200337887945,0.2275763953974984,1.6749557765337069,0.4044857651461288
128,6,RONPO-stochastic,0.23224595729294242,0.06179522398426038,0.5138540049030126,0.23008675446312396,1.907327693662418,0.17211384801741778
256,6,RONPO-stochastic,0.23477652768062274,0.059264653596580064,0.5183801329214254,0.25070727855379005,1.8984730469969782,0.18096849468285775
512,6,RONPO-stochastic,0.25083780504142084,0.043203376235781965,0.5253377748819711,0.25095093497882753,1.8063934093417058,0.2730481323381302
1024,6,RONPO-stochastic,0.25236125163344153,0.04167992964376127,0.5183406974235795,0.24280431134344116,1.8468301103857998,0.23261143129403583
2048,6,RONPO-stochastic,0.2502487682939566,0.04379241298324621,0.5166862801583822,0.24325749538018765,1.8575484111309426,0.22189313054889326
4096,6,RONPO-stochastic,0.25056915703946764,0.04347202423773516,0.5201086105209357,0.25650057081829714,1.832819313800216,0.24662222787961957
