alpha,method,n_seeds,n_converged,n_used,expected_non_convergent,bt_deviance,rho_star,min_surplus_mean,min_surplus_std,normalized_min_surplus_mean,normalized_min_surplus_std,avg_surplus_mean,nash_welfare_mean,exploitability_mean,kl_from_reference_mean,raw_multiplier_l1_mean,tv_to_exact_proximal_mean,tv_to_exact_global_mean,max_projected_kkt,max_inner_fixed_point
0.25,bt_rm_utilitarian,3,3,3,False,0.009987182067582258,0.034382926528076944,0.031920663425577867,0.0021927267064282977,0.9282873600933566,0.002962229184243797,0.03314088365461205,-13.636346476605434,0.07580930285704672,1.1179519349526708,29.999653854424626,0.018242022678722474,0.15699853305071118,,0.7979661460646195
0.5,reference,3,3,3,False,0.040226972779493005,0.033925025536601504,0.0,0.0,0.0,0.0,0.0,,0.03881433141158011,0.0,,0.6478308610687452,0.7508853181154906,,
0.5,exact_global_nash,3,3,3,False,0.040226972779493005,0.033925025536601504,0.0331132980303882,0.0021356909789139763,0.9760183766776375,0.0021581748487316307,0.034618096267175665,-13.46069315248299,0.08028010548219709,1.458786004083623,,0.12246034256579424,0.0,,
0.5,exact_proximal_nash,3,3,3,False,0.040226972779493005,0.033925025536601504,0.031869337035871644,0.0020197770845732277,0.9394009783674998,0.0033184193346072915,0.03295456137708103,-13.658166354916647,0.07545786017002104,1.1094886480053396,,0.0,0.12246034256579424,,
0.5,nbpo_direct,3,3,3,False,0.040226972779493005,0.033925025536601504,0.031869336933858065,0.0020197770472662802,0.9394009753996463,0.0033184197249065787,0.032954561332311276,-13.658166359854292,0.07545786084435353,1.1094886430676867,121.84486319770797,2.9118838451706434e-08,0.12246034130573678,7.345590802287916e-11,1.4073143284054623e-07
0.5,nbpo_rstep_legacy,3,0,3,True,0.040226972779493005,0.033925025536601504,0.030030234452703853,0.002189646871523738,0.8848313471595567,0.008883272137547199,0.03131935650853659,-13.862382058483748,0.0816118181272573,1.051732614958139,101.24024770576563,0.0795716047201266,0.19843169278087436,0.009834082428653801,0.9451911331405944
0.5,fixed_reference_nash,3,3,3,False,0.040226972779493005,0.033925025536601504,0.03162212463306036,0.0021217726330593437,0.931961185863763,0.0038808531958946612,0.03277833062370992,-13.680284554440524,0.08265236569279867,1.1166271085105068,120.74299005915792,0.04166303953950229,0.14502490361101741,0.0,0.0
0.5,bt_rm_nash,3,3,3,False,0.040226972779493005,0.033925025536601504,0.031620092182984276,0.002122338016455194,0.9319004822835772,0.003879275060775383,0.032777128494479425,-13.680434585708374,0.082668856279696,1.116580624313163,29.999653854424622,0.041745953625038607,0.14508050856053606,0.0,3.3306690738754696e-16
0.5,game_utilitarian,3,3,3,False,0.040226972779493005,0.033925025536601504,0.03183602162558464,0.0020280888790225843,0.9384058197509226,0.003222619274249207,0.03296274596289879,-13.6573490937863,0.07550533706426192,1.110397655618139,121.84486319770797,0.002964124206578988,0.12217501604836101,,1.7127146201278975e-08
0.5,game_ks,3,3,3,False,0.040226972779493005,0.033925025536601504,0.03167902929267618,0.002042915516566228,0.9337396545637415,0.0036985671014404106,0.03294973073972303,-13.659689078363385,0.07580085066061333,1.1108135450269698,121.84486319770794,0.01610593258526006,0.12242119270787233,,3.845573415262038e-08
